Opening,Axis1_Memory,Axis2_Tactical,Axis3_Middlegame,Axis4_Aggressive
French Defense: King's Indian Attack,33.33333333333333,49.630785323508675,46.901010747080896,82.48681714983142
Mieses Opening,0.0,37.768894959129135,33.8463361913589,0.0
Elephant Gambit,41.66666666666667,14.48653167714678,9.358486320848531,100.0
Sicilian Defense,16.666666666666664,0.33987960034489006,9.928293370798787,89.183806424398
Caro-Kann Defense: Exchange Variation,58.333333333333336,20.445991657959382,3.1141885055563856,38.39138049037718
Van Geet Opening: Reversed Nimzowitsch,41.66666666666667,34.48236762790101,1.4126149680831777,42.94307336392997
Caro-Kann Defense: Advance Variation,41.66666666666667,92.24688635376351,59.85027957643653,24.1742597099228
Ruy Lopez: Steinitz Defense,41.66666666666667,85.01898632472417,69.41790192924493,0.0
Danish Gambit,33.33333333333333,71.56207348045707,68.56377931748928,0.0
Owen Defense,8.333333333333332,95.24988447996121,6.917647472536517,73.22545460774383
French Defense: Steinitz Attack,16.666666666666664,12.324573433251588,1.407667213869274,100.0
Bishop's Opening: Boi Variation,25.0,78.89261830384321,1.6377810248962312,0.0
King's Pawn Game: Napoleon Attack,16.666666666666664,69.41542110596424,0.7462160120214713,0.0
Hungarian Opening,16.666666666666664,53.6899904737902,2.0114336613978425,94.4807940755076
Three Knights Opening,33.33333333333333,57.841617288914904,4.936133562127009,55.219659186851075
King's Indian Attack: Symmetrical Defense,50.0,81.0087714568127,0.22088001247132066,100.0
Scandinavian Defense,16.666666666666664,73.82876856577562,0.9629987674850473,0.3383528412422265
Old Indian Defense,33.33333333333333,16.316271743776728,1.9506206413183749,24.741152117933005
"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",75.0,98.77903675216146,22.60123205384305,0.0
Zukertort Opening: Sicilian Invitation,16.666666666666664,62.95218297747297,1.7876294625553235,52.79320752163408
Sicilian Defense: Staunton-Cochrane Variation,16.666666666666664,75.53229923431417,41.90927939946772,77.36348702184571
Slav Defense,25.0,22.412119963369143,2.042722717629596,68.98176814295927
Queen's Gambit Declined: Three Knights Variation,66.66666666666666,77.53637350484125,30.834080280623095,0.0
"French Defense: Advance Variation, Paulsen Attack",75.0,18.486796541063512,1.5826090368553698,81.01301045064098
Philidor Defense,33.33333333333333,41.571308847217686,2.3502130555290215,55.50900844925323
Vienna Game,16.666666666666664,59.22918414973205,0.5888909774233435,77.80125000430672
Van't Kruijs Opening,8.333333333333332,65.16613060105014,55.25750585499682,0.0
King's Pawn Game: Wayward Queen Attack,33.33333333333333,16.525579262311318,55.25750585499682,0.0
French Defense: Knight Variation,16.666666666666664,11.625795922229367,65.09751630331125,44.25943188223581
"King's Indian Defense: Normal Variation, King's Knight Variation",41.66666666666667,53.528318459609345,1.5714656854933733,12.9707790111987
King's Pawn Game: McConnell Defense,25.0,48.75206440229894,20.11999949489817,100.0
Saragossa Opening,0.0,97.42928720332,0.4273637332592014,100.0
Queen's Pawn Game: Chigorin Variation,16.666666666666664,87.18726999612,55.25750585499682,63.09697931966731
Nimzowitsch Defense: Franco-Nimzowitsch Variation,25.0,38.143823165130016,4.253216666331214,90.08727696933622
Caro-Kann Defense,50.0,48.202332299193955,4.828800317188224,14.508784077630816
Semi-Slav Defense,58.333333333333336,42.277495800040214,43.28013526129741,0.0
Scotch Game,33.33333333333333,56.96607873150194,6.266548501448577,76.02084540108049
Sicilian Defense: McDonnell Attack,16.666666666666664,91.40711609384219,0.7782279997998719,3.680692664762724
Sicilian Defense: Bowdler Attack,16.666666666666664,58.07864852129418,8.070690869427885,80.29130448701366
Polish Opening,16.666666666666664,50.61275146737045,55.25750585499682,0.0
"Ruy Lopez: Morphy Defense, Caro Variation",66.66666666666666,78.4919420207554,73.32861249787322,44.325237966013695
Modern Defense,8.333333333333332,35.88208368237123,55.25750585499682,0.0
French Defense: Exchange Variation,33.33333333333333,35.66275214152521,2.180716511173836,72.20974675425481
Four Knights Game: Spanish Variation,50.0,0.6380049619345625,5.495151082675844,94.58051723341622
"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",8.333333333333332,64.48699825670509,3.984214306508248,12.68769085966671
Scotch Game: Schmidt Variation,75.0,58.03520202817889,15.127168093670873,68.96305179886077
Queen's Gambit Declined,33.33333333333333,50.34497350776444,46.24610741326984,25.51510981132612
English Opening: King's English Variation,25.0,4.50672506363632,1.0431291032878007,54.14566027385146
Sicilian Defense: Alapin Variation,16.666666666666664,67.27520625124384,1.0458464822212752,77.77810216668921
"Caro-Kann Defense: Advance Variation, Short Variation",50.0,31.12041446544002,58.88038468802177,83.75365472204606
Scandinavian Defense: Mieses-Kotroc Variation,33.33333333333333,81.18608591908043,67.09886325856209,16.941957094840845
French Defense: Two Knights Variation,33.33333333333333,92.66525697872179,33.27282414303545,100.0
King's Pawn Game,8.333333333333332,96.50808378456125,0.9680177929241597,0.0
